feature,importance
CDR_proxy,0.05057693822000364
LBP_bin_2,0.03675062620525712
HSV_H_skew,0.03421591776785901
HSV_S_mean,0.028878686712690785
HSV_S_std,0.02685148463199576
RGB_G_skew,0.026764003455729997
HSV_H_mean,0.026633117454771222
LBP_bin_20,0.026439600053600056
HSV_S_skew,0.02617127624435578
LBP_bin_24,0.026034826989837032
LBP_bin_22,0.024686607698075607
RGB_B_skew,0.02441793882922726
RGB_G_mean,0.024224835888900904
LBP_bin_19,0.023359371042055425
HSV_H_std,0.0228242760807873
RGB_G_std,0.022457329210534293
LBP_bin_3,0.022382013100068317
RGB_B_mean,0.02217098258923007
HSV_V_std,0.02198885781866703
RGB_B_std,0.021586891811847142
